rank,index_code,name,type_label,hit_count,sector_size,coverage_pct,turnover_yi,turnover_share_pct,baseline_hit_count,hit_change,today_pct,recent_pct,amplitude,related_sectors,hit_stocks,representatives
18,885454.TI,智能穿戴,概念,15,238,6.3,1512.74,17.48,15.0,0.0,-4.88,-13.45,19.61,,东山精密、长电科技、京东方A、通富微电、佰维存储、中兴通讯、德明利、立讯精密、江波龙、九安医疗、协创数据、瑞芯微、信维通信、蓝思科技、东芯股份,东山精密(-8.01%)、长电科技(-22.27%)、京东方A(-15.23%)、通富微电(-14.37%)、佰维存储(-28.13%)
19,886044.TI,液冷服务器,概念,14,227,6.17,1644.82,19.01,14.75,-0.75,-4.82,-13.79,20.36,,中际旭创、紫光股份、浪潮信息、亨通光电、中兴通讯、中天科技、中科曙光、工业富联、光迅科技、立讯精密、蓝思科技、美的集团、三花智控、利通电子,中际旭创(-9.39%)、紫光股份(-1.85%)、浪潮信息(-4.91%)、亨通光电(-19.21%)、中兴通讯(-15.76%)
20,885785.TI,小米概念,概念,19,372,5.11,1747.85,20.2,16.5,2.5,-3.86,-11.39,16.98,,兆易创新、东山精密、京东方A、佰维存储、胜宏科技、三环集团、江波龙、九安医疗、协创数据、北京君正、瑞芯微、大族激光、普冉股份、蓝思科技、三花智控、麦格米特、豪威集团、利通电子、TCL科技,兆易创新(-21.51%)、东山精密(-8.01%)、京东方A(-15.23%)、佰维存储(-28.13%)、胜宏科技(-17.91%)
21,886085.TI,AI眼镜,概念,14,189,7.41,1038.29,12.0,15.75,-1.75,-4.55,-13.35,20.71,,京东方A、佰维存储、中兴通讯、立讯精密、江波龙、协创数据、北京君正、瑞芯微、芯原股份、大族激光、信维通信、蓝思科技、豪威集团、TCL科技,京东方A(-15.23%)、佰维存储(-28.13%)、中兴通讯(-15.76%)、立讯精密(-3.70%)、江波龙(-27.88%)
22,885806.TI,华为概念,概念,32,1005,3.18,2445.29,28.26,35.75,-3.75,-2.88,-8.58,13.81,,东山精密、京东方A、亨通光电、生益科技、天孚通信、佰维存储、沪电股份、中天科技、光迅科技、三环集团、立讯精密、华天科技、江波龙、华工科技、瑞芯微、长光华芯、星网锐捷、国际复材、大族激光、信维通信、永鼎股份、普冉股份、深南电路、景旺电子、蓝思科技、美的集团、豪威集团、利通电子、TCL科技、德福科技、罗博特科、昆仑万维,东山精密(-8.01%)、京东方A(-15.23%)、亨通光电(-19.21%)、生益科技(-8.26%)、天孚通信(-17.65%)
23,885998.TI,F5G概念,概念,5,36,13.89,811.54,9.38,6.0,-1.0,-4.48,-16.42,24.03,,中际旭创、亨通光电、光迅科技、华工科技、星网锐捷,中际旭创(-9.39%)、亨通光电(-19.21%)、光迅科技(-21.06%)、华工科技(-31.37%)、星网锐捷(-0.86%)
24,885959.TI,PCB概念,概念,15,229,6.55,1215.05,14.04,16.0,-1.0,-7.65,-16.74,28.96,,东山精密、生益科技、胜宏科技、沪电股份、中天科技、中国巨石、华工科技、国际复材、大族激光、深南电路、景旺电子、中国铝业、中钨高新、TCL科技、德福科技,东山精密(-8.01%)、生益科技(-8.26%)、胜宏科技(-17.91%)、沪电股份(-7.73%)、中天科技(-22.02%)
25,700410.TI,电脑与外围设备(A股),行业,5,27,18.52,451.37,5.22,5.5,-0.5,-2.69,-18.88,24.32,电脑硬件、储存设备及电脑周边(A股),浪潮信息、中科曙光、德明利、江波龙、深科技,浪潮信息(-4.91%)、中科曙光(-14.22%)、德明利(-32.93%)、江波龙(-27.88%)、深科技(-32.58%)
26,885376.TI,苹果概念,概念,11,140,7.86,1049.7,12.13,11.5,-0.5,-6.25,-15.11,23.54,,东山精密、长电科技、京东方A、工业富联、立讯精密、华工科技、大族激光、信维通信、深南电路、蓝思科技、罗博特科,东山精密(-8.01%)、长电科技(-22.27%)、京东方A(-15.23%)、工业富联(-10.43%)、立讯精密(-3.70%)
27,885957.TI,东数西算(算力),概念,19,411,4.62,1749.96,20.23,20.0,-1.0,-2.32,-9.76,14.74,,寒武纪、紫光股份、浪潮信息、海光信息、中兴通讯、胜宏科技、中天科技、中科曙光、长飞光纤、工业富联、光迅科技、香农芯创、协创数据、华工科技、芯原股份、永鼎股份、利通电子、精智达、昆仑万维,寒武纪(-13.02%)、紫光股份(-1.85%)、浪潮信息(-4.91%)、海光信息(-7.21%)、中兴通讯(-15.76%)
